,tipo_suelo,fecha,num_incendios,area_km2_tipo_suelo,incendios_cada_km2
57,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-06,19,900196336.2952371,2.1106506696299837e-08
58,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-07,8,900196336.2952371,8.88695018791572e-09
59,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-08,4,900196336.2952371,4.44347509395786e-09
60,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-09,4,900196336.2952371,4.44347509395786e-09
61,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-10,10,900196336.2952371,1.110868773489465e-08
62,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-11,12,900196336.2952371,1.333042528187358e-08
63,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-12,4,900196336.2952371,4.44347509395786e-09
64,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-13,7,900196336.2952371,7.776081414426256e-09
65,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-14,6,900196336.2952371,6.66521264093679e-09
66,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-15,12,900196336.2952371,1.333042528187358e-08
67,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-16,10,900196336.2952371,1.110868773489465e-08
68,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-17,15,900196336.2952371,1.6663031602341975e-08
69,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-18,5,900196336.2952371,5.554343867447325e-09
70,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-19,12,900196336.2952371,1.333042528187358e-08
71,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-20,17,900196336.2952371,1.8884769149320906e-08
72,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-21,10,900196336.2952371,1.110868773489465e-08
73,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-22,8,900196336.2952371,8.88695018791572e-09
74,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-23,13,900196336.2952371,1.4441294055363046e-08
75,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-24,9,900196336.2952371,9.997818961405185e-09
76,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-25,10,900196336.2952371,1.110868773489465e-08
77,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-26,3,900196336.2952371,3.332606320468395e-09
78,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-27,3,900196336.2952371,3.332606320468395e-09
79,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-28,3,900196336.2952371,3.332606320468395e-09
80,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-29,1,900196336.2952371,1.110868773489465e-09
81,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-30,1,900196336.2952371,1.110868773489465e-09
82,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-01,3,900196336.2952371,3.332606320468395e-09
83,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-02,17,900196336.2952371,1.8884769149320906e-08
84,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-03,7,900196336.2952371,7.776081414426256e-09
85,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-04,7,900196336.2952371,7.776081414426256e-09
86,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-05,4,900196336.2952371,4.44347509395786e-09
87,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-06,7,900196336.2952371,7.776081414426256e-09
88,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-07,9,900196336.2952371,9.997818961405185e-09
89,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-08,5,900196336.2952371,5.554343867447325e-09
90,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-09,9,900196336.2952371,9.997818961405185e-09
91,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-10,1,900196336.2952371,1.110868773489465e-09
92,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-11,4,900196336.2952371,4.44347509395786e-09
93,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-12,6,900196336.2952371,6.66521264093679e-09
94,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-14,1,900196336.2952371,1.110868773489465e-09
95,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-15,3,900196336.2952371,3.332606320468395e-09
96,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-16,2,900196336.2952371,2.22173754697893e-09
97,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-17,9,900196336.2952371,9.997818961405185e-09
98,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-18,4,900196336.2952371,4.44347509395786e-09
99,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-19,3,900196336.2952371,3.332606320468395e-09
100,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-20,3,900196336.2952371,3.332606320468395e-09
101,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-21,11,900196336.2952371,1.2219556508384116e-08
102,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-22,1,900196336.2952371,1.110868773489465e-09
103,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-23,1,900196336.2952371,1.110868773489465e-09
104,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-24,2,900196336.2952371,2.22173754697893e-09
105,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-25,11,900196336.2952371,1.2219556508384116e-08
106,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-27,3,900196336.2952371,3.332606320468395e-09
107,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-28,2,900196336.2952371,2.22173754697893e-09
108,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-29,2,900196336.2952371,2.22173754697893e-09
109,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-31,1,900196336.2952371,1.110868773489465e-09
110,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-01,6,900196336.2952371,6.66521264093679e-09
