,tipo_suelo,fecha,num_incendios,area_km2_tipo_suelo_x,incendios_cada_km2,area_km2_tipo_suelo_y
49,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-28,6,900196336.2952371,6.66521264093679e-09,900196336.2952371
50,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-29,6,900196336.2952371,6.66521264093679e-09,900196336.2952371
51,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-30,11,900196336.2952371,1.2219556508384116e-08,900196336.2952371
52,"Manejo agricola, pecuario y forestal (plantaciones)",2001-03-31,5,900196336.2952371,5.554343867447325e-09,900196336.2952371
53,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-01,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
54,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-02,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
55,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-03,5,900196336.2952371,5.554343867447325e-09,900196336.2952371
56,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-05,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
57,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-06,19,900196336.2952371,2.1106506696299837e-08,900196336.2952371
58,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-07,8,900196336.2952371,8.88695018791572e-09,900196336.2952371
59,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-08,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
60,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-09,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
61,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-10,10,900196336.2952371,1.110868773489465e-08,900196336.2952371
62,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-11,12,900196336.2952371,1.333042528187358e-08,900196336.2952371
63,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-12,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
64,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-13,7,900196336.2952371,7.776081414426256e-09,900196336.2952371
65,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-14,6,900196336.2952371,6.66521264093679e-09,900196336.2952371
66,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-15,12,900196336.2952371,1.333042528187358e-08,900196336.2952371
67,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-16,10,900196336.2952371,1.110868773489465e-08,900196336.2952371
68,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-17,15,900196336.2952371,1.6663031602341975e-08,900196336.2952371
69,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-18,5,900196336.2952371,5.554343867447325e-09,900196336.2952371
70,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-19,12,900196336.2952371,1.333042528187358e-08,900196336.2952371
71,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-20,17,900196336.2952371,1.8884769149320906e-08,900196336.2952371
72,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-21,10,900196336.2952371,1.110868773489465e-08,900196336.2952371
73,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-22,8,900196336.2952371,8.88695018791572e-09,900196336.2952371
74,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-23,13,900196336.2952371,1.4441294055363046e-08,900196336.2952371
75,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-24,9,900196336.2952371,9.997818961405185e-09,900196336.2952371
76,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-25,10,900196336.2952371,1.110868773489465e-08,900196336.2952371
77,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-26,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
78,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-27,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
79,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-28,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
80,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-29,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
81,"Manejo agricola, pecuario y forestal (plantaciones)",2001-04-30,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
82,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-01,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
83,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-02,17,900196336.2952371,1.8884769149320906e-08,900196336.2952371
84,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-03,7,900196336.2952371,7.776081414426256e-09,900196336.2952371
85,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-04,7,900196336.2952371,7.776081414426256e-09,900196336.2952371
86,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-05,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
87,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-06,7,900196336.2952371,7.776081414426256e-09,900196336.2952371
